Kecamatan,Padi Sawah (Ha),Produksi Padi Sawah (Ton),Rata-rata Produksi Padi Sawah(Kw/Ha),Padi Ladang (Ha),Produksi Padi Ladang(Ton),Rata-rata Produksi Padi Ladang(Ku/Ha),Tahun,kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten,kemendagri_nama_kabupaten,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,Tahun ,"produksi
","Produksi
",province,production,productivity,harvest_area,year,﻿38 Provinsi,Unnamed: 1,Unnamed: 2,Unnamed: 3,id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,komoditas,produksi,satuan,tahun,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_padi,kode_kecamatan,nama_kecamatan,produktivitas_komoditas,Provinsi,Year,Yield.Areal(ha),Productivity(kw/ha),Production.(ton)
Wanadadi,1375.0,10038.0,73.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakit,1578.0,10431.0,66.0,35.0,123.0,35.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punggelan,1726.0,10304.0,60.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karangkobar,594.0,3623.0,61.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagentan,484.0,2033.0,42.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pejawaran,191.0,821.0,43.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batur,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanayasa,163.0,652.0,40.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalibening,1403.0,7436.0,53.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanarum,672.0,3427.0,51.0,0.0,0.0,0.0,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susukan,2349.0,15998.0,68.0,35.0,143.0,41.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwareja Klampok,1548.0,10681.0,69.0,10.0,41.0,41.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandiraja,3335.0,28238.0,85.0,50.0,202.0,40.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwanegara,243.0,19342.0,80.0,25.0,102.0,41.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawang,2083.0,13914.0,67.0,10.0,39.0,39.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
